class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,x23,y23,z23,v23,x24,y24,z24,v24,x25,y25,z25,v25,x26,y26,z26,v26,x27,y27,z27,v27,x28,y28,z28,v28,x29,y29,z29,v29,x30,y30,z30,v30,x31,y31,z31,v31,x32,y32,z32,v32,x33,y33,z33,v33
walking,0.437244177,0.387385726,-0.524616122,0.999727666,0.454359949,0.334915847,-0.545377612,0.999662757,0.468022883,0.330631137,-0.545360208,0.999620914,0.482256174,0.326004863,-0.545526385,0.999687672,0.427532762,0.338517964,-0.48196429,0.999677062,0.421744734,0.337285042,-0.481511027,0.999512672,0.416307837,0.335529208,-0.481651396,0.999521971,0.527333975,0.324632764,-0.464675039,0.99980408,0.445665926,0.33150816,-0.192455962,0.999598086,0.472348511,0.42725113,-0.482465178,0.999755204,0.441454023,0.429540932,-0.403944582,0.999673724,0.609587252,0.600418806,-0.596744061,0.998580456,0.493867695,0.506647468,0.196029097,0.998230875,0.661701262,0.962814927,-0.629351377,0.93419981,0.465721518,0.771911442,0.404454082,0.105798036,0.632975996,1.335441351,-0.610090494,0.808550417,0.366409659,0.918442309,0.263809294,0.338956237,0.648785472,1.429036379,-0.688355982,0.813692689,0.323140621,0.961115837,0.272235692,0.426969826,0.610003114,1.422795773,-0.69290942,0.864028931,0.321006089,0.966648757,0.171766445,0.505992293,0.602014601,1.386368513,-0.614850342,0.854319513,0.340595394,0.953815699,0.210860252,0.488315046,0.645465493,1.241419196,-0.214785606,0.043024104,0.511809468,1.200622797,0.217431426,0.036463004,0.639464855,1.750748754,-0.223567218,0.004208887,0.483607709,1.701832175,0.193969846,0.001977576,0.635931551,2.182356119,0.10458827,0.000165651,0.506907821,2.168032408,0.358428925,6.47E-05,0.656636715,2.216127872,0.123509489,0.000563385,0.520986915,2.226344347,0.356860012,0.000115151,0.587188959,2.366257429,-0.148178875,0.000560378,0.477100939,2.337813377,0.01194063,0.000166892
walking,0.433735132,0.385584444,-0.474764585,0.999716401,0.450356901,0.334587723,-0.518211484,0.999655128,0.462226391,0.330549836,-0.518211126,0.999607801,0.475225687,0.326002777,-0.51824522,0.999679208,0.426454484,0.337897509,-0.435510308,0.999664664,0.421213239,0.336544812,-0.435121775,0.999492407,0.416127145,0.334758401,-0.435293525,0.999505401,0.524802566,0.324763566,-0.493256569,0.999798834,0.446167618,0.330685467,-0.152027026,0.99956876,0.465747058,0.425514847,-0.45905605,0.99974364,0.440085709,0.425696552,-0.355097979,0.999649286,0.606072843,0.602106154,-0.619577229,0.998484075,0.493543923,0.512550592,0.224990889,0.998037934,0.654824972,0.964198112,-0.669927001,0.920303762,0.479309797,0.782413483,0.443936199,0.096943289,0.603743494,1.28558135,-0.61011517,0.772797227,0.371417135,0.912271798,0.293588877,0.311060965,0.605565786,1.36215663,-0.682083368,0.783333838,0.330820918,0.932917893,0.304589331,0.395151615,0.576281667,1.348781586,-0.671931863,0.839210987,0.324653327,0.93163693,0.21640034,0.470677912,0.57417798,1.316595078,-0.611736953,0.826390982,0.341202736,0.928127646,0.243539497,0.453782797,0.622717381,1.234751344,-0.23347573,0.039283328,0.486531973,1.199286222,0.236386582,0.033360478,0.604087949,1.735042095,-0.257318377,0.00395996,0.45824942,1.695427299,0.221862793,0.001848224,0.608701885,2.175328493,0.099581629,0.000161021,0.466780841,2.16297555,0.401900589,6.23E-05,0.638819218,2.213180065,0.11843431,0.000533529,0.481561512,2.223467827,0.4006733,0.000111886,0.543154895,2.353955984,-0.19390215,0.00055354,0.420252025,2.324256659,0.031521033,0.000168416
walking,0.425700039,0.382154822,-0.470351368,0.999731898,0.441866547,0.331915081,-0.508092046,0.999674261,0.452906936,0.328298897,-0.508118629,0.999628782,0.465491056,0.324175328,-0.508084714,0.999695241,0.419380099,0.335215837,-0.427727401,0.999684274,0.414074242,0.334150225,-0.427425325,0.999522448,0.409030378,0.332718313,-0.42763266,0.999534607,0.516896129,0.324402243,-0.491923481,0.999809444,0.440154612,0.329217732,-0.136183888,0.999590993,0.456663936,0.422932148,-0.450196654,0.999756098,0.432794333,0.420956552,-0.348694384,0.999665141,0.577772021,0.598359287,-0.616963625,0.998538136,0.493553817,0.515948832,0.262804896,0.998083651,0.633657992,0.970888972,-0.671772838,0.919538319,0.482805103,0.782839835,0.558611989,0.091736078,0.583229482,1.288678885,-0.63056165,0.773332179,0.373909414,0.875947893,0.559403539,0.304247051,0.584483981,1.367793918,-0.691393256,0.783167064,0.338902682,0.896096349,0.608209312,0.388102323,0.553724587,1.354888916,-0.67241019,0.838941097,0.328543067,0.89235729,0.529785693,0.462995648,0.553191245,1.321936846,-0.624900341,0.824612677,0.34552592,0.888529181,0.520854592,0.445132434,0.603467703,1.234893918,-0.237173155,0.040032905,0.47808522,1.206098199,0.239776656,0.035293981,0.588728786,1.727884889,-0.245107144,0.004227439,0.447536051,1.694097757,0.263991743,0.00194044,0.593131125,2.160622835,0.13526082,0.000189961,0.459224463,2.158100605,0.497315586,7.37E-05,0.624086976,2.197578907,0.15568319,0.000574162,0.475165457,2.21944356,0.501418233,0.000132672,0.52700609,2.341666698,-0.145677716,0.000652671,0.410365164,2.315604448,0.159264088,0.000212292
walking,0.40796119,0.381375819,-0.452248275,0.999741733,0.425457895,0.331492484,-0.492354155,0.999686182,0.436354309,0.328143328,-0.492429197,0.999641716,0.44827494,0.324173719,-0.492337793,0.999702036,0.402331293,0.33385247,-0.413506091,0.999697089,0.397084296,0.332437545,-0.413301855,0.999544919,0.392189264,0.330679357,-0.413563401,0.999556005,0.494484842,0.325586051,-0.489362806,0.999813259,0.423425287,0.32804063,-0.136997133,0.999606192,0.437798649,0.42279318,-0.434624135,0.999756753,0.412923664,0.419530272,-0.335374653,0.999664605,0.543519616,0.604024887,-0.607195258,0.998284459,0.493540347,0.520893335,0.258723795,0.997815967,0.592618227,0.986764014,-0.668982267,0.909599066,0.482583702,0.812690616,0.535871863,0.085156403,0.491565317,1.236062646,-0.622811437,0.764548957,0.375260979,0.850003898,0.53374666,0.292002738,0.47503534,1.294460058,-0.665011287,0.776882827,0.341633469,0.86218828,0.577776253,0.376084447,0.456809819,1.270984888,-0.634785056,0.833308935,0.330018103,0.860300839,0.510791898,0.449341834,0.464141309,1.245974898,-0.606695235,0.816633046,0.347968519,0.853062689,0.499471664,0.430266023,0.57588917,1.23590064,-0.238819212,0.040903017,0.46686101,1.214645028,0.241183445,0.037677772,0.545633435,1.70929718,-0.236988947,0.006203914,0.419590563,1.682642221,0.263681501,0.002396838,0.566612899,2.134532452,0.14666681,0.000365823,0.438029945,2.143357754,0.4774701,0.000128588,0.599944532,2.171016693,0.167116523,0.000858566,0.45669803,2.20439887,0.47817263,0.000211601,0.504290879,2.312695026,-0.114645757,0.001063594,0.385270774,2.299351454,0.161038846,0.00038013
walking,0.38871485,0.381406158,-0.550758839,0.999750495,0.408869177,0.331543654,-0.554363132,0.99968493,0.422167361,0.32819885,-0.554591537,0.999641955,0.435726464,0.324217618,-0.554562211,0.999688208,0.378086895,0.333868086,-0.481323391,0.999707758,0.370342255,0.332444191,-0.481249988,0.999565661,0.36301294,0.3306548,-0.481535137,0.999570012,0.478365749,0.325646102,-0.470173925,0.999803722,0.386177719,0.328410208,-0.136977017,0.999615312,0.420658916,0.422819674,-0.494963318,0.999702334,0.388718158,0.419660926,-0.401316345,0.999619901,0.520381033,0.601434708,-0.586627722,0.996337295,0.483498991,0.529950202,0.272967428,0.996863902,0.544635117,0.98619324,-0.665306151,0.880781114,0.483001858,0.882793725,0.421903312,0.077669725,0.423232377,1.174130917,-0.569341183,0.72962606,0.384316981,1.053223968,0.247213408,0.264693648,0.404899687,1.220265508,-0.615303874,0.743260801,0.355213583,1.116237998,0.260806382,0.342406422,0.397292197,1.196875453,-0.579207897,0.800478518,0.342189908,1.104089141,0.192754179,0.409534365,0.406973422,1.178750396,-0.551450908,0.782672644,0.355175227,1.081441402,0.206699938,0.392194986,0.558950901,1.235886097,-0.247081593,0.042264894,0.467040926,1.220031381,0.248768017,0.042886555,0.482646316,1.606347442,-0.224151045,0.0134038,0.395844668,1.615742922,0.326473862,0.003639789,0.526574731,2.013356924,0.161391884,0.001630493,0.412870795,2.071766853,0.519485831,0.000780086,0.569368303,2.060034275,0.185523093,0.003609437,0.437263578,2.141061544,0.519484937,0.001361839,0.445313752,2.171225548,-0.003932354,0.003742114,0.330692232,2.217338562,0.297155887,0.002144439
walking,0.348229498,0.383243024,-0.545069337,0.999736726,0.366294473,0.333173752,-0.536850095,0.999649763,0.379144251,0.330036163,-0.537243426,0.99960804,0.393266797,0.326004684,-0.537308872,0.999645233,0.341335386,0.334616184,-0.457276344,0.999696314,0.336123496,0.332879454,-0.457302511,0.999555707,0.331261396,0.33086884,-0.457583249,0.999551654,0.441252083,0.326338708,-0.456396997,0.999776602,0.366960794,0.329290539,-0.107388958,0.999603212,0.38081634,0.424351305,-0.490891784,0.999600947,0.351975232,0.421700537,-0.387348592,0.999536097,0.486871332,0.60140115,-0.584098518,0.995392025,0.469403446,0.541686773,0.282292634,0.995901108,0.515948415,0.98519212,-0.692727208,0.859149396,0.491250336,0.924608648,0.386946172,0.070497118,0.41544342,1.208859205,-0.587832093,0.700553715,0.441973358,1.171100378,0.234333724,0.238803685,0.406876713,1.263904214,-0.645841002,0.713817537,0.426747799,1.247973084,0.254705817,0.309405208,0.393911928,1.249435782,-0.609017491,0.770408154,0.414078772,1.246574759,0.184418082,0.370161891,0.399613559,1.227392912,-0.559206843,0.749630034,0.41941151,1.217877269,0.194930241,0.354642212,0.52894932,1.238038778,-0.252378464,0.044605948,0.462501109,1.228788614,0.253946245,0.047468871,0.462338924,1.588248372,-0.217410401,0.018134959,0.406156003,1.618482471,0.325802237,0.004300923,0.50161761,2.013374805,0.158979386,0.002218544,0.410524189,2.065232515,0.510143518,0.001026955,0.546132863,2.072700977,0.183803529,0.005641755,0.433645546,2.139603853,0.512590766,0.00204209,0.408236653,2.14941287,0.011948962,0.005141457,0.314862847,2.185796261,0.301074624,0.00294118
walking,0.315113515,0.382857472,-0.183297932,0.999605775,0.326705307,0.332558066,-0.239364624,0.999486566,0.334052116,0.329606175,-0.239612848,0.999459445,0.341969728,0.325730532,-0.239692524,0.999503791,0.316434443,0.333271146,-0.146780714,0.999583006,0.316248596,0.33113113,-0.14676553,0.999450386,0.316340029,0.328468442,-0.147063851,0.999465466,0.395292878,0.325210869,-0.366060376,0.999677598,0.36803931,0.326197356,0.041020118,0.999555945,0.340952814,0.422229499,-0.216391534,0.999333382,0.327678978,0.420805395,-0.098253801,0.999303401,0.460665137,0.5772264,-0.527740657,0.994842052,0.465847492,0.539537191,0.312810719,0.995095968,0.49759984,0.94242394,-0.637772143,0.836972117,0.520240247,0.898851216,0.390801132,0.064350039,0.412246943,1.210148335,-0.525289536,0.677354455,0.45290795,1.156366467,0.264613032,0.215808183,0.412960917,1.263588548,-0.591283441,0.694110096,0.435972542,1.22069943,0.284841835,0.280360401,0.397412866,1.258829832,-0.544698834,0.748617113,0.423203707,1.226808071,0.207678705,0.335479498,0.39918229,1.23564136,-0.505423427,0.724429429,0.428295195,1.199620724,0.222659707,0.32148692,0.499054611,1.22107327,-0.25173676,0.056846436,0.464506567,1.217903495,0.252863199,0.061703902,0.453883648,1.535630941,-0.214804053,0.023260739,0.409637064,1.557760358,0.301454961,0.00470087,0.493316501,1.967484832,0.153370291,0.002745025,0.413925797,2.011047602,0.486489832,0.001126869,0.536322236,2.033288717,0.177396566,0.007533008,0.438710362,2.087412357,0.48845616,0.002262155,0.395553738,2.078175068,-0.002882219,0.006542621,0.321957439,2.114963055,0.262942195,0.003314084
walking,0.300468922,0.374749154,-0.042065866,0.999563277,0.310536444,0.324221253,-0.112504497,0.999447763,0.315953583,0.321913719,-0.112727247,0.999425113,0.321711719,0.318827689,-0.112688147,0.999467075,0.306791008,0.323823869,-0.012341051,0.99954474,0.309390128,0.321321994,-0.012279271,0.99942416,0.312369406,0.318034649,-0.01256041,0.999453902,0.375792593,0.318029344,-0.323360503,0.99965179,0.368318707,0.316167831,0.121053137,0.999559224,0.323813081,0.410768092,-0.106655315,0.999207556,0.318266332,0.410898179,0.021709353,0.999206662,0.430898607,0.558795691,-0.514309287,0.994908869,0.478396952,0.536124527,0.332647055,0.994885623,0.450162888,0.92953968,-0.622910321,0.818741798,0.526480138,0.885371149,0.399635136,0.060024507,0.370253503,1.211603284,-0.495439619,0.668183208,0.464652359,1.158960223,0.297937214,0.196430176,0.371911347,1.263032913,-0.561960101,0.689174592,0.446337849,1.216441393,0.328372598,0.256653309,0.362076133,1.262149811,-0.509138703,0.741466999,0.432177305,1.221686125,0.246488541,0.307409823,0.363090366,1.239250183,-0.475970507,0.71471101,0.435811371,1.195753694,0.254674137,0.294769585,0.464884847,1.211216807,-0.249586031,0.075377554,0.466918528,1.210140467,0.250946462,0.080947995,0.45713219,1.542258978,-0.199953541,0.025031738,0.410343707,1.555070162,0.307900012,0.004805859,0.508005977,1.985581994,0.181478664,0.002748209,0.41820842,2.011305809,0.522908866,0.001101451,0.550446391,2.048635244,0.208191246,0.007799238,0.450430065,2.086992502,0.528743029,0.002243637,0.422507852,2.100476503,0.037484728,0.006814973,0.339769065,2.112372875,0.314379245,0.003307769
walking,0.292441487,0.368122041,-0.082671121,0.999516845,0.303794414,0.317846805,-0.152076215,0.999401748,0.309707582,0.316241324,-0.152263671,0.999386668,0.316147476,0.314010531,-0.152292818,0.999427795,0.299230397,0.316348076,-0.056399085,0.999505877,0.301831126,0.313655257,-0.056345582,0.999396682,0.304999471,0.310233146,-0.056484323,0.999434233,0.370432973,0.31384322,-0.338628829,0.999623775,0.362751245,0.309486449,0.086542174,0.999566793,0.315291226,0.403690964,-0.135128722,0.99911952,0.309003979,0.403430849,-0.012476929,0.999151886,0.402938694,0.555939555,-0.527552485,0.995037436,0.479201466,0.523447812,0.333358139,0.995066285,0.375824988,0.93003732,-0.625984609,0.789458215,0.522146285,0.876193345,0.403762013,0.056574259,0.260671198,1.178612232,-0.489934772,0.656530738,0.449721158,1.116907597,0.312833667,0.179580614,0.249281168,1.219972134,-0.559375048,0.682437181,0.429143488,1.165574431,0.337924182,0.236153349,0.245347112,1.210262537,-0.512377977,0.73238337,0.415263355,1.167324305,0.256100863,0.282758832,0.252488345,1.193184495,-0.472012818,0.70175904,0.420697272,1.147546172,0.271112382,0.271044075,0.427565664,1.19097054,-0.257990897,0.083940126,0.467405975,1.188893437,0.259422004,0.091085523,0.393581152,1.355049849,-0.212396055,0.028985575,0.412256539,1.351608872,0.359242857,0.005252886,0.445193112,1.794493079,0.212611035,0.003329451,0.410055399,1.823303461,0.626465321,0.001190612,0.487434059,1.864714503,0.246301696,0.009520664,0.4339028,1.904577136,0.63948822,0.00257607,0.367935538,1.869360447,0.132830933,0.008148539,0.32518366,1.906019688,0.49132961,0.003635264
walking,0.284573913,0.358982146,-0.123435035,0.999522686,0.29594335,0.307429194,-0.189337566,0.999414682,0.301847458,0.306263924,-0.189426854,0.99940747,0.30836001,0.304590285,-0.189457998,0.999447227,0.291717589,0.305089414,-0.092999987,0.999509037,0.294425547,0.302173048,-0.092917465,0.99941498,0.297825634,0.298499674,-0.092797078,0.999453366,0.364139438,0.306160927,-0.35151726,0.999634206,0.357372463,0.299891889,0.075913087,0.99959141,0.306987643,0.395796776,-0.165226892,0.999166727,0.300899476,0.39462769,-0.04166802,0.999191582,0.383203357,0.544972479,-0.530235648,0.995444477,0.47837767,0.510878325,0.369799405,0.995377898,0.298227012,0.925682664,-0.622385621,0.796888828,0.492137849,0.863231957,0.457327038,0.054596793,0.151575297,1.091794491,-0.398819506,0.671430349,0.365117103,1.114388824,0.376232237,0.164428145,0.114923693,1.154964924,-0.462231785,0.693999231,0.34508884,1.123674512,0.396066964,0.216557607,0.11348293,1.133099794,-0.418834537,0.739506125,0.322225183,1.114729285,0.31769675,0.258726418,0.1282399,1.120909929,-0.37752369,0.705204308,0.326522171,1.108226776,0.336545765,0.248258308,0.40286684,1.178589463,-0.275121301,0.083780371,0.459329456,1.18119359,0.276202679,0.087445304,0.378105134,0.996605039,-0.211894438,0.060297079,0.389247924,1.038726211,0.42017132,0.009361413,0.351318747,1.308719754,0.262064517,0.013856829,0.374245465,1.288992405,0.711878657,0.002411244,0.371931911,1.395208955,0.297238946,0.024281772,0.383636057,1.357729793,0.733294666,0.006598622,0.267106056,1.254374623,0.239450604,0.019396521,0.292554677,1.250022888,0.702744603,0.006535931
walking,0.2843934,0.356346428,-0.020463318,0.999552608,0.294594795,0.306092888,-0.096758209,0.999455333,0.300263315,0.305046558,-0.09681835,0.99945128,0.306520253,0.303498387,-0.096802533,0.999485612,0.290916562,0.303916126,-0.004266187,0.999539673,0.293621689,0.301191241,-0.004217695,0.999457538,0.296953917,0.297776371,-0.004053843,0.999492109,0.358556688,0.304498494,-0.315907091,0.999659598,0.352780282,0.299175292,0.097147398,0.999625325,0.306842893,0.392912179,-0.083483867,0.999233246,0.301395476,0.391005576,0.03505785,0.999252915,0.380027652,0.524988115,-0.527233362,0.995861351,0.479674578,0.500920177,0.347151041,0.995738089,0.290702641,0.88900733,-0.556950331,0.809817195,0.508248866,0.831687272,0.453254551,0.058849093,0.125195608,1.007260203,-0.287461489,0.68990773,0.392471254,1.02442646,0.411831677,0.152359992,0.081107475,1.05327642,-0.333218634,0.708455443,0.386473715,1.039039731,0.430139601,0.200391665,0.075584158,1.025829792,-0.297991544,0.749939144,0.352912486,1.024958372,0.359737545,0.238736421,0.091422737,1.006361842,-0.266021937,0.713417709,0.34441787,1.019465685,0.376187116,0.229460105,0.408435732,1.159397364,-0.269708037,0.094457068,0.465189993,1.166804671,0.270948768,0.091586784,0.395828933,0.958917618,-0.184840158,0.099613011,0.396399558,1.042556882,0.411167204,0.015196155,0.38132298,1.289942861,0.279851347,0.028623877,0.391485423,1.28125751,0.676555455,0.004791075,0.404911697,1.371908784,0.315839261,0.044591829,0.405259669,1.344267249,0.694796801,0.012948669,0.306580067,1.262982249,0.286839098,0.035045885,0.312669456,1.248601079,0.666576743,0.011053884
walking,0.289358556,0.355081499,0.105543874,0.999566138,0.297150224,0.304742754,0.018219929,0.999482036,0.301735342,0.303769439,0.018240113,0.999481618,0.30669868,0.302366614,0.018283186,0.999508917,0.295946449,0.302577317,0.102421403,0.999555409,0.299343944,0.299874991,0.102436557,0.999483407,0.303229272,0.296516299,0.102590069,0.999512792,0.354275912,0.304329038,-0.243656784,0.999673486,0.354648322,0.298304945,0.13222447,0.99965024,0.309928983,0.39195326,0.029459223,0.999281347,0.307151854,0.389921457,0.136840492,0.999293804,0.36770606,0.515172243,-0.481813014,0.996235967,0.482485443,0.490307927,0.338884503,0.996029854,0.278520674,0.861320436,-0.482147843,0.826499999,0.535069764,0.774977624,0.584315538,0.071704179,0.112125859,0.958466232,-0.192381263,0.711715698,0.522434354,0.890278101,0.848943412,0.142649814,0.068850331,0.988926172,-0.215498894,0.725644886,0.488711923,0.900652647,0.913074791,0.186660528,0.061828513,0.970640719,-0.190422148,0.763326228,0.45636791,0.895215631,0.86471051,0.221494749,0.082253009,0.957606971,-0.171775907,0.725511491,0.490498215,0.880828142,0.831683934,0.213348389,0.412668645,1.122906089,-0.268914044,0.111922249,0.48488149,1.144200206,0.268819541,0.101637095,0.414772451,0.922246575,-0.168836996,0.143774986,0.417587459,1.057403445,0.381783783,0.024304112,0.41851601,1.193817735,0.267358452,0.051834833,0.451966226,1.240912199,0.634878278,0.009614825,0.448150545,1.251290798,0.304953516,0.078465782,0.466943204,1.290066361,0.653377056,0.023330735,0.324801773,1.203175426,0.287103385,0.058626287,0.395776212,1.210021496,0.611724377,0.018511297
walking,0.294228137,0.351545155,0.108906746,0.999578297,0.300920546,0.302566141,0.023860645,0.999506295,0.305036873,0.301462531,0.023947986,0.999508679,0.309517056,0.300046355,0.024056597,0.999530256,0.300715268,0.300073236,0.103714667,0.999568164,0.304295093,0.296927959,0.103739522,0.999505341,0.308165729,0.293081284,0.103900053,0.999530256,0.356591284,0.301858127,-0.232353613,0.99968338,0.358502209,0.293034434,0.123892978,0.999671996,0.314852774,0.38779074,0.034837749,0.999324739,0.312948436,0.384175777,0.136605829,0.999330759,0.368371636,0.513002455,-0.454447687,0.996572793,0.486694276,0.477811992,0.328967392,0.996307731,0.28285265,0.854320109,-0.463110864,0.840997398,0.543893695,0.747469008,0.605432689,0.085628867,0.094627008,0.965356529,-0.203949854,0.731842577,0.503060102,0.855976343,0.92694217,0.135971382,0.062962502,0.993008196,-0.226023644,0.741989136,0.501907825,0.872891486,0.998145401,0.176577151,0.060646515,0.973979175,-0.202739835,0.776224136,0.514207959,0.86496377,0.952107608,0.208317578,0.07759054,0.960700274,-0.184850037,0.737167001,0.511897206,0.859707832,0.912975788,0.201068342,0.412454903,1.094885468,-0.251133114,0.127845049,0.493951708,1.120003223,0.250674546,0.111365892,0.425988495,0.874694228,-0.152270108,0.173049688,0.441580832,1.005610108,0.369897962,0.030176582,0.419258833,1.105423093,0.286237329,0.065378711,0.475958496,1.17222929,0.626603603,0.012447761,0.461125284,1.152636886,0.32663992,0.099232048,0.489281267,1.217971683,0.649184704,0.029638328,0.388418972,1.115250826,0.314472288,0.073725574,0.428862333,1.143297911,0.617396414,0.023355551
walking,0.29689613,0.339454859,0.067379318,0.999605417,0.302609056,0.289732516,-0.010414123,0.999543965,0.306021631,0.288160473,-0.010386311,0.999547005,0.309753835,0.28630954,-0.010339729,0.999565125,0.303563386,0.287018448,0.064943634,0.999598086,0.307282031,0.28329885,0.064892776,0.99954313,0.311109215,0.278909057,0.065008879,0.999565721,0.353210926,0.288366824,-0.249526381,0.999705672,0.360745639,0.277415633,0.093144313,0.999700069,0.317498505,0.375706941,-0.003772159,0.99938041,0.316379189,0.371476382,0.092426747,0.999384582,0.37090078,0.513095319,-0.45282355,0.996886015,0.492127508,0.467575461,0.26756686,0.996572375,0.292782366,0.858314514,-0.444631487,0.853663146,0.560246408,0.765720248,0.572877526,0.089667268,0.122967407,0.970216811,-0.168482989,0.748946369,0.474017948,0.875899434,0.730751395,0.128332481,0.085675679,0.99527806,-0.193365306,0.755408168,0.472678363,0.893370569,0.781968594,0.166152537,0.081965759,0.972631156,-0.171109691,0.786607146,0.511364162,0.883068621,0.721256793,0.195109233,0.097689718,0.96131736,-0.151990503,0.746977925,0.479137182,0.880283237,0.707070887,0.188701674,0.409206301,1.076076388,-0.232857302,0.161697701,0.498016745,1.083968639,0.232810423,0.133226842,0.381426752,0.923728943,-0.136404485,0.211733341,0.428355545,1.014803648,0.355842352,0.037492856,0.391212881,1.220216155,0.268903702,0.079975329,0.438193947,1.224182725,0.574586391,0.016057789,0.422233582,1.278850675,0.305387914,0.118212193,0.449254036,1.278054833,0.596635818,0.038606104,0.32109341,1.230790377,0.296490997,0.086281411,0.374592364,1.195138216,0.557242751,0.028710088
walking,0.300367415,0.333464712,0.117088974,0.999631226,0.306895375,0.287212998,0.038795397,0.999576569,0.310521036,0.285967469,0.038872227,0.999579787,0.314366758,0.284510553,0.038970213,0.999593854,0.30540508,0.283476979,0.112688124,0.999622703,0.308410615,0.279407442,0.112640455,0.999575377,0.315356016,0.274784446,0.11267592,0.999596953,0.357492805,0.285907596,-0.21860525,0.999723971,0.363884121,0.272202849,0.111280702,0.999724448,0.321397841,0.367531508,0.038332719,0.999427438,0.317045689,0.362433493,0.133116424,0.999432743,0.374980778,0.501582682,-0.420080751,0.997151077,0.500550628,0.448215574,0.259580046,0.996840417,0.307205021,0.838236392,-0.402646691,0.857771099,0.551882803,0.764396012,0.4559668,0.08828228,0.173839584,0.973215878,-0.107207753,0.752205491,0.418091148,0.89569813,0.607783794,0.120410785,0.141791999,1.002691984,-0.123354152,0.756461978,0.404742002,0.915145874,0.664134264,0.15565905,0.134417772,0.989115477,-0.094019324,0.785209119,0.388216555,0.907214165,0.60348469,0.182215005,0.149736986,0.974307775,-0.089575872,0.744369209,0.379954845,0.902467728,0.585285544,0.176772356,0.413201898,1.028731227,-0.212438315,0.185987443,0.507839561,1.06438005,0.212670058,0.152218252,0.400319189,0.882643759,-0.095331594,0.22412616,0.433492094,1.023337603,0.34835586,0.040466558,0.403827906,1.181024313,0.290597945,0.082000591,0.427202314,1.209140897,0.564803064,0.017361932,0.428930461,1.244227648,0.324455708,0.12225309,0.432619244,1.262722254,0.587600529,0.043746911,0.334457368,1.180591941,0.33554402,0.08866889,0.362208426,1.168543696,0.567939878,0.031160321
walking,0.302583933,0.326686591,0.146220073,0.999645829,0.307479173,0.284679592,0.070837975,0.999599338,0.312247455,0.283487827,0.070852965,0.999603331,0.317676097,0.28224948,0.070880838,0.999613583,0.312224358,0.280762285,0.137969285,0.999637961,0.317762434,0.276641458,0.137907818,0.999598026,0.325790852,0.2721515,0.137836486,0.99961859,0.362617224,0.283210099,-0.179969162,0.99973768,0.373242766,0.26973626,0.119007692,0.999744773,0.322523057,0.359316736,0.070439875,0.999458849,0.323338091,0.353915662,0.156107038,0.999467254,0.373040736,0.487419903,-0.379787982,0.997381985,0.514633894,0.429284722,0.255713522,0.997056425,0.317892373,0.823698938,-0.374586523,0.859399915,0.55296886,0.739379585,0.449353218,0.084606901,0.195920616,0.983686805,-0.088535033,0.748139024,0.420101821,0.86783886,0.624995708,0.111661255,0.154459789,1.023170352,-0.099881358,0.750942528,0.405796617,0.887069166,0.686592817,0.144764781,0.154632717,1.02017045,-0.067088827,0.777575433,0.384416878,0.88057065,0.624799013,0.169106483,0.169083714,1.004579306,-0.069937192,0.735966384,0.381060988,0.876238763,0.601583838,0.1643309,0.411245972,0.988764822,-0.193971112,0.214133427,0.515594244,1.028904319,0.194302276,0.173755661,0.408052117,0.911331952,-0.06351494,0.219492614,0.44399184,1.045624495,0.342484355,0.041396476,0.399063259,1.25570786,0.296650022,0.077782266,0.427827686,1.278423548,0.538049936,0.017354708,0.422116429,1.325665951,0.328981817,0.118454501,0.434183359,1.335152507,0.558054566,0.046353079,0.33105436,1.262551665,0.347947806,0.085038632,0.365166724,1.258946896,0.550504565,0.031168973
